Citation	Study	Sample	Measure	Reliability	N	Estimate	Splithalf	Parts	Parts_provided	Delay	Aggregate	Aggregate_num	Estimate_notes	Estimate_searchable	Source
"Foster, D. W., Neighbors, C., & Young, C. M. (2014). Drink refusal self-efficacy and implicit drinking identity: An evaluation of moderators of the relationship between self-awareness and drinking behavior. Addictive Behaviors, 39, 196–204."	1	1	IAT	IC	218	0.7	0.54	2						Yes	Search
"Lindgren, K. P., Kaysen, D., Werntz, A. J., Gasser, M. L., & Teachman, B. A. (2013). Wounds that can’t be seen: Implicit Trauma Associations predict posttraumatic stress disorder symptoms. Journal of Behavior Therapy and Experimental Psychiatry, 44, 368–375."	1	1	IAT	IC	209	0.82	0.69	2					Trauma-self	Yes	Search
"Lindgren, K. P., Kaysen, D., Werntz, A. J., Gasser, M. L., & Teachman, B. A. (2013). Wounds that can’t be seen: Implicit Trauma Associations predict posttraumatic stress disorder symptoms. Journal of Behavior Therapy and Experimental Psychiatry, 44, 368–375."	1	1	IAT	IC	209	0.87	0.77	2					Dangerous memory	Yes	Search
"Lindgren, K. P., Kaysen, D., Werntz, A. J., Gasser, M. L., & Teachman, B. A. (2013). Wounds that can’t be seen: Implicit Trauma Associations predict posttraumatic stress disorder symptoms. Journal of Behavior Therapy and Experimental Psychiatry, 44, 368–375."	2	1	IAT	IC	290	0.79	0.65	2					Trauma-self	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	IAT	IC	118	0.75		2					T1	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	IAT	IC	118	0.83		2					T2	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	BIAT	IC	118	0.75		2					"Self-Other + Positive, T1"	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	BIAT	IC	118	0.67		2					"Self-Other + Positive, T2"	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	BIAT	IC	118	0.74		2					"Positive-Negative + Self, T1"	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	BIAT	IC	118	0.67		2					"Positive-Negative + Self, T2"	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	Evaluative Priming	IC	118	0.55		2					"Standard, T1"	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	Evaluative Priming	IC	118	0.54		2					"Standard, T2"	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	EAST	IC	118	0.51		2					"RT Score (log), T1"	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	EAST	IC	118	0.34		2					"RT Score (log), T2"	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	Name Letter Effect	IC	118	0.51		2					"Baseline-corrected, T1"	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	Name Letter Effect	IC	118	0.53		2					"Baseline-corrected, T2"	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	IAT	TRR	118	0.54				4 weeks				Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	BIAT	TRR	118	0.13				4 weeks			Self-Other + Positive	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	BIAT	TRR	118	0.22				4 weeks			Positive-Negative + Self	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	Evaluative Priming	TRR	118	0.29				4 weeks			Standard	Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	EAST	TRR	118	0.13				4 weeks				Yes	Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251."	1	1	Name Letter Effect	TRR	118	0.38				4 weeks				Yes	Search
"Houben, K., Nosek, B. A., & Wiers, R. W. (2010). Seeing the forest through the trees: A comparison of different IAT variants measuring implicit alcohol associations. Drug and Alcohol Dependence, 106, 204–211."	1	1	IAT	IC	414	0.79		3					Bipolar alcohol affective	Yes	Search
"Houben, K., Nosek, B. A., & Wiers, R. W. (2010). Seeing the forest through the trees: A comparison of different IAT variants measuring implicit alcohol associations. Drug and Alcohol Dependence, 106, 204–211."	1	2	IAT	IC	493	0.76		3					Bipolar general affective	Yes	Search
"Houben, K., Nosek, B. A., & Wiers, R. W. (2010). Seeing the forest through the trees: A comparison of different IAT variants measuring implicit alcohol associations. Drug and Alcohol Dependence, 106, 204–211."	1	3	IAT	IC	477	0.78		3					Unipolar alcohol positive	Yes	Search
"Houben, K., Nosek, B. A., & Wiers, R. W. (2010). Seeing the forest through the trees: A comparison of different IAT variants measuring implicit alcohol associations. Drug and Alcohol Dependence, 106, 204–211."	1	4	IAT	IC	485	0.81		3					Unipolar general positive	Yes	Search
"Houben, K., Nosek, B. A., & Wiers, R. W. (2010). Seeing the forest through the trees: A comparison of different IAT variants measuring implicit alcohol associations. Drug and Alcohol Dependence, 106, 204–211."	1	5	IAT	IC	515	0.68		3					Unipolar alcohol negative	Yes	Search
"Houben, K., Nosek, B. A., & Wiers, R. W. (2010). Seeing the forest through the trees: A comparison of different IAT variants measuring implicit alcohol associations. Drug and Alcohol Dependence, 106, 204–211."	1	6	IAT	IC	484	0.69		3					Unipolar general negative	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	1	IAT	IC	395	0.86		3					Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	2	BIAT	IC	374	0.81		3					Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	3	GNAT	IC	365	0.7		3					Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	4	ST-IAT	IC	387	0.74		3					Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	5	Evaluative Priming	IC	393	0.54		3					Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	6	AMP	IC	509	0.66		3					Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	7	IAT	IC	395	0.93		3					Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	8	BIAT	IC	374	0.89		3					Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	9	GNAT	IC	365	0.84		3					Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	10	ST-IAT	IC	387	0.84		3					Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	11	Evaluative Priming	IC	393	0.63		3					Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	12	AMP	IC	509	0.81		3					Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	13	IAT	IC	395	0.82		3					Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	14	BIAT	IC	374	0.76		3					Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	15	GNAT	IC	365	0.65		3					Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	16	ST-IAT	IC	387	0.7		3					Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	17	Evaluative Priming	IC	393	0.54		3					Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	18	AMP	IC	509	0.55		3					Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	1	IAT	TRR	116	0.4				same session			Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	2	BIAT	TRR	116	0.63				same session			Race.  Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	3	GNAT	TRR	116	0.3				same session			Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	4	ST-IAT	TRR	116	0.34				same session			Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	5	Evaluative Priming	TRR	116	0.18				same session			Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	6	AMP	TRR	116	0.33				same session			Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	7	IAT	TRR	116	0.65				same session			Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	8	BIAT	TRR	116	0.78				same session			Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	9	GNAT	TRR	116	0.72				same session			Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	10	ST-IAT	TRR	116	0.54				same session			Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	11	Evaluative Priming	TRR	116	0.51				same session			Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	12	AMP	TRR	116	0.73				same session			Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	13	IAT	TRR	116	0.26				same session			Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	14	BIAT	TRR	116	0.42				same session			Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	15	GNAT	TRR	116	0.34				same session			Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	16	ST-IAT	TRR	116	0.36				same session			Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	17	Evaluative Priming	TRR	116	0.29				same session			Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	1	18	AMP	TRR	116	0.35				same session			Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.	Yes	Search
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	IC	40	0.9	0.82	2					"Kerry-Bush/good, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	IC	40	0.8	0.66	2					"Kerry-Bush/good, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	IC	40	0.88	0.79	2					"Bush-Kerry/bad, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	IC	40	0.8	0.66	2					"Bush-Kerry/bad, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	IC	40	0.96	0.92	2					"Female-male/self, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	IC	40	0.91	0.83	2					"Female-male/self, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	IC	40	0.77	0.62	2					"Male-female/other, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	IC	40	0.68	0.51	2					"Male-female/other, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	TRR	40	0.49				same session			Kerry-Bush/good	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	TRR	40	0.17				same session			Bush-Kerry/bad	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	TRR	40	0.55				same session			Female-male/self	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	1	1	BIAT	TRR	40	0.07				same session			Male-female/other	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	IAT	IC	67	0.93	0.87	2					"Candidate, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	IAT	IC	67	0.92	0.85	2					"Candidate, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	IAT	IC	67	0.94	0.89	2					"Gender Identity, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	IAT	IC	67	0.94	0.89	2					"Gender Identity, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	IAT	TRR	67	0.62				same session			Candidate	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	IAT	TRR	67	0.71				same session			Gender Identity	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	IC	67	0.89	0.8	2					"Kerry-Bush/good, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	IC	67	0.83	0.71	2					"Kerry-Bush/good, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	IC	67	0.63	0.46	2					"Bush-Kerry/bad, T1"	Yes	OrigPub
