Citation,Study,Sample,Measure,Reliability,N,Estimate,Delay,Delay days,Aggregate,Aggregate_num,Estimate_notes,Estimate_searchable,Source
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330.",3,1,IAT,TRR,98,.63,same session (10 minutes),0,,,,Yes,Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330.",4,1,IAT,TRR,90,.56,1 month,28,,,,Yes,Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330.",5,1,IAT,TRR,88,.56,1 year,265,,,,Yes,Search
"Tibboel, H., De Houwer, J., Dirix, N., & Spruyt, A. (2017). Beyond associations: Do implicit beliefs play a role in smoking addiction? Journal of Psychopharmacology, 31, 43–53.",1,1,IAT,TRR,47,.31,unclear (not same session),,,,approach/avoid,Yes,Search
"Tibboel, H., De Houwer, J., Dirix, N., & Spruyt, A. (2017). Beyond associations: Do implicit beliefs play a role in smoking addiction? Journal of Psychopharmacology, 31, 43–53.",1,1,IAT,TRR,47,.59,unclear (not same session),,,,liking,Yes,Search
"Tibboel, H., De Houwer, J., Dirix, N., & Spruyt, A. (2017). Beyond associations: Do implicit beliefs play a role in smoking addiction? Journal of Psychopharmacology, 31, 43–53.",2,1,IAT,TRR,46,.19,unclear (not same session),,,,,Yes,Search
"Wang-Jones, T. T. S., Hattrup, K., Alhassoon, O. M., Ferdman, B. M., & Lowman, R. L. (2017). Development of gender identity implicit association tests to assess attitudes toward transmen and transwomen. Psychology of Sexual Orientation and Gender Diversity, 4, 169–183.",1,1,IAT,TRR,344,.45,1 week,7,,,Transmen,Yes,Search
"Wang-Jones, T. T. S., Hattrup, K., Alhassoon, O. M., Ferdman, B. M., & Lowman, R. L. (2017). Development of gender identity implicit association tests to assess attitudes toward transmen and transwomen. Psychology of Sexual Orientation and Gender Diversity, 4, 169–183.",1,1,IAT,TRR,344,.48,1 week,7,,,Transwomen,Yes,Search
"Fleischhauer, M., Strobel, A., & Strobel, A. (2015). Directly and indirectly assessed need for cognition differentially predict spontaneous and reflective information processing behavior. Journal of Individual Differences, 36, 101–109.",1,1,IAT,TRR,105,.65,4-6 weeks,35,,,,Yes,Search
"Fujii, T., Sawaumi, T., & Aikawa, A. (2013). Test-retest reliability and criterion-related validity of the implicit association test for measuring shyness. IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences, E96-A, 1768–1774.",1,1,IAT,TRR,59,.43,1 week,7,,,Shyness,Yes,Search
"Fujii, T., Sawaumi, T., & Aikawa, A. (2013). Test-retest reliability and criterion-related validity of the implicit association test for measuring shyness. IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences, E96-A, 1768–1774.",1,1,IAT,TRR,59,.67,1 week,7,,,Self-esteem,Yes,Search
"Ventis, W. L., Ball, C. T., & Viggiano, C. (2010). A Christian humanist implicit association test: Validity and test-retest reliability. Psychology of Religion and Spirituality, 2, 181–189.",1,1,IAT,TRR,31,.56,6 months,183,,,,Yes,Search
"Díaz, D., Horcajo, J., & Blanco, A. (2009). Development of an implicit overall well-being measure using the implicit association test. Spanish Journal of Psychology, 12, 604–617.",1,1,IAT,TRR,93,.50,1 month,30,,,,Yes,Search
"Robey, K. L., Beckley, L., & Kirschner, M. (2006). Implicit infantilizing attitudes about disability. Journal of Developmental and Physical Disabilities, 18, 441–453.",1,1,IAT,TRR,30,.43,5 days,5,,,infantilization,Yes,Search
"Robey, K. L., Beckley, L., & Kirschner, M. (2006). Implicit infantilizing attitudes about disability. Journal of Developmental and Physical Disabilities, 18, 441–453.",1,1,IAT,TRR,30,.50,5 days,5,,,evaluation,Yes,Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88.",1,1,IAT,TRR,65,.58,1 week,7,,,D1 algorithm,Yes,Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88.",2,1,IAT,TRR,39,.62,1 month,30,,,D1 algorithm,Yes,Search
"Egloff, B., Schwerdtfeger, A., & Schmukle, S. C. (2005). Temporal stability of the Implicit Association Test-Anxiety. Journal of Personality Assessment, 84, 82–88.",3,1,IAT,TRR,36,.47,1 year,365,,,D1 algorithm,Yes,Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262.",1,1,IAT,TRR,90,.22,3 weeks,21,,,ILS-Global,Yes,Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262.",1,1,IAT,TRR,90,.11,3 weeks,21,,,ILS-Unique,Yes,Search
"Kim, D.-Y. (2004). The implicit life satisfaction measure. Asian Journal of Social Psychology, 7, 236–262.",1,1,IAT,TRR,90,.42,3 weeks,21,,,Implicit self-esteem,Yes,Search
"Schultz, P. W., Shriver, C., Tabanico, J. J., & Khazian, A. M. (2004). Implicit connections with nature. Journal of Environmental Psychology, 24, 31–42.",2,1,IAT,TRR,32,.45,same session,0,,,,Yes,Search
"Schultz, P. W., Shriver, C., Tabanico, J. J., & Khazian, A. M. (2004). Implicit connections with nature. Journal of Environmental Psychology, 24, 31–42.",2,2,IAT,TRR,33,.46,1 week,7,,,,Yes,Search
"Schultz, P. W., Shriver, C., Tabanico, J. J., & Khazian, A. M. (2004). Implicit connections with nature. Journal of Environmental Psychology, 24, 31–42.",2,3,IAT,TRR,33,.40,4 week,28,,,,Yes,Search
"Egloff, B., & Schmukle, S. C. (2002). Predictive validity of an implicit association test for assessing anxiety. Journal of Personality and Social Psychology, 83, 1441–1455.",1,1,IAT,TRR,41,.57,1 week,7,,,,Yes,Search
"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160.",1,1,IAT,TRR,101,.52,same session,0,,,,Yes,Search
"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160.",2,1,IAT,TRR,79,.38,same session,0,,,,Yes,Search
"Lemmer, G., Gollwitzer, M., & Banse, R. (2015). On the psychometric properties of the aggressiveness-IAT for children and adolescents. Aggressive Behavior, 41, 84–95.",1,1,IAT,TRR,,,4-11 months,,Aggregated across 4 administrations,6,Midpoint of range given (r = .14 to r = .36),Yes,Review
,,,,,,,,,,,,,
,,,,,,,,,,,,,
