"articleid"	"citation"	"sampleid"	"study"	"sample"	"measure"	"reliability"	"n"	"estimate"	"ICyi"	"ICvi"	"TRRyi"	"TRRvi"	"splithalf"	"parts"	"parts_provided"	"delay"	"aggregate"	"aggregate_num"	"estimate_notes"	"estimate_searchable"	"source"
5	"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	9	"1"	1	"IAT"	"IC"	101	0.83	1.77195684193187	0.0404040404040404	NA	NA	NA	2	NA	NA	NA	NA	"Homos.-IAT 2"	"Yes"	"Search"
5	"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	9	"1"	1	"IAT"	"IC"	101	0.8	1.6094379124341	0.0404040404040404	NA	NA	NA	2	NA	NA	NA	NA	"gender"	"Yes"	"Search"
5	"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	9	"1"	1	"IAT"	"TRR"	101	0.52	NA	NA	0.576339754969193	0.0102040816326531	NA	NA	NA	"same session"	NA	NA	NA	"Yes"	"Search"
5	"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	10	"2"	1	"IAT"	"IC"	79	0.88	2.12026353620009	0.051948051948052	NA	NA	NA	2	NA	NA	NA	NA	"T1"	"Yes"	"Search"
5	"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	10	"2"	1	"IAT"	"IC"	79	0.81	1.66073120682165	0.051948051948052	NA	NA	NA	2	NA	NA	NA	NA	"T2"	"Yes"	"Search"
5	"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	10	"2"	1	"IAT"	"TRR"	79	0.38	NA	NA	0.400059650056057	0.0131578947368421	NA	NA	NA	"same session"	NA	NA	NA	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	11	"1"	1	"IAT"	"IC"	395	0.86	1.96611285637283	0.00763358778625954	NA	NA	NA	3	NA	NA	NA	NA	"Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	11	"1"	1	"IAT"	"TRR"	116	0.4	NA	NA	0.423648930193602	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	12	"1"	2	"BIAT"	"IC"	374	0.81	1.66073120682165	0.00806451612903226	NA	NA	NA	3	NA	NA	NA	NA	"Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	12	"1"	2	"BIAT"	"TRR"	116	0.63	NA	NA	0.741416144081269	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Race.  Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	13	"1"	3	"GNAT"	"IC"	365	0.7	1.20397280432594	0.00826446280991736	NA	NA	NA	3	NA	NA	NA	NA	"Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	13	"1"	3	"GNAT"	"TRR"	116	0.3	NA	NA	0.309519604203112	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	14	"1"	4	"ST-IAT"	"IC"	387	0.74	1.34707364796661	0.00779220779220779	NA	NA	NA	3	NA	NA	NA	NA	"Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	14	"1"	4	"ST-IAT"	"TRR"	116	0.34	NA	NA	0.354092528962243	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	15	"1"	5	"Evaluative Priming"	"IC"	393	0.54	0.776528789498996	0.00767263427109974	NA	NA	NA	3	NA	NA	NA	NA	"Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	15	"1"	5	"Evaluative Priming"	"TRR"	116	0.18	NA	NA	0.181982688600706	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	16	"1"	6	"AMP"	"IC"	509	0.66	1.07880966137193	0.00591715976331361	NA	NA	NA	3	NA	NA	NA	NA	"Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	16	"1"	6	"AMP"	"TRR"	116	0.33	NA	NA	0.342828254415394	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	17	"1"	7	"IAT"	"IC"	395	0.93	2.65926003693278	0.00763358778625954	NA	NA	NA	3	NA	NA	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	17	"1"	7	"IAT"	"TRR"	116	0.65	NA	NA	0.775298706205583	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	18	"1"	8	"BIAT"	"IC"	374	0.89	2.20727491318972	0.00806451612903226	NA	NA	NA	3	NA	NA	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	18	"1"	8	"BIAT"	"TRR"	116	0.78	NA	NA	1.04537054846688	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	19	"1"	9	"GNAT"	"IC"	365	0.84	1.83258146374831	0.00826446280991736	NA	NA	NA	3	NA	NA	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	19	"1"	9	"GNAT"	"TRR"	116	0.72	NA	NA	0.907644983319124	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	20	"1"	10	"ST-IAT"	"IC"	387	0.84	1.83258146374831	0.00779220779220779	NA	NA	NA	3	NA	NA	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	20	"1"	10	"ST-IAT"	"TRR"	116	0.54	NA	NA	0.604155602962267	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	21	"1"	11	"Evaluative Priming"	"IC"	393	0.63	0.994252273343867	0.00767263427109974	NA	NA	NA	3	NA	NA	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	21	"1"	11	"Evaluative Priming"	"TRR"	116	0.51	NA	NA	0.562729769352149	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	22	"1"	12	"AMP"	"IC"	509	0.81	1.66073120682165	0.00591715976331361	NA	NA	NA	3	NA	NA	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	22	"1"	12	"AMP"	"TRR"	116	0.73	NA	NA	0.928727364246725	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	23	"1"	13	"IAT"	"IC"	395	0.82	1.71479842809193	0.00763358778625954	NA	NA	NA	3	NA	NA	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	23	"1"	13	"IAT"	"TRR"	116	0.26	NA	NA	0.266108406873654	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	24	"1"	14	"BIAT"	"IC"	374	0.76	1.42711635564015	0.00806451612903226	NA	NA	NA	3	NA	NA	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	24	"1"	14	"BIAT"	"TRR"	116	0.42	NA	NA	0.447692023527421	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	25	"1"	15	"GNAT"	"IC"	365	0.65	1.04982212449868	0.00826446280991736	NA	NA	NA	3	NA	NA	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	25	"1"	15	"GNAT"	"TRR"	116	0.34	NA	NA	0.354092528962243	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	26	"1"	16	"ST-IAT"	"IC"	387	0.7	1.20397280432594	0.00779220779220779	NA	NA	NA	3	NA	NA	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	26	"1"	16	"ST-IAT"	"TRR"	116	0.36	NA	NA	0.37688590118819	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	27	"1"	17	"Evaluative Priming"	"IC"	393	0.54	0.776528789498996	0.00767263427109974	NA	NA	NA	3	NA	NA	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	27	"1"	17	"Evaluative Priming"	"TRR"	116	0.29	NA	NA	0.298566263660178	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	28	"1"	18	"AMP"	"IC"	509	0.55	0.798507696217772	0.00591715976331361	NA	NA	NA	3	NA	NA	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
6	"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688."	28	"1"	18	"AMP"	"TRR"	116	0.35	NA	NA	0.365443754271396	0.00884955752212389	NA	NA	NA	"same session"	NA	NA	"Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis."	"Yes"	"Search"
7	"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	29	"1a"	1	"AMP"	"IC"	354	0.59	0.891598119283784	0.0113636363636364	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
7	"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	29	"1a"	1	"IAT"	"IC"	354	0.55	0.798507696217772	0.0113636363636364	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
7	"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	30	"1b"	1	"AMP"	"IC"	382	0.69	1.17118298150294	0.0105263157894737	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
7	"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	30	"1b"	1	"IAT"	"IC"	382	0.83	1.77195684193187	0.0105263157894737	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
7	"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	31	"2"	1	"AMP"	"IC"	533	0.7	1.20397280432594	0.00753295668549906	NA	NA	0.54	2	NA	NA	NA	NA	NA	"Yes"	"Review"
7	"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	32	"3"	1	"AMP"	"IC"	702	0.63	0.994252273343867	0.00571428571428571	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
7	"Bar-Anan, Y., Nosek, B.A. (2012). Reporting intentional rating of the primes predicts priming effects in the Affective Misattribution Procedure. Personality and Social Psychology Bulletin, 38, 1194-1208. "	32	"3"	1	"IAT"	"IC"	702	0.59	0.891598119283784	0.00571428571428571	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
8	"Barnes-Holmes, D., Murphy, A., Barnes-Holmes, Y., & Stewart, I. (2010). The implicit relational assessment procedure: exploring the impact of private versus public contexts and the response latency criterion on pro-white and anti-black stereotyping among white irish individuals. The Psychological Record, 60, 57–79."	33	"1"	1	"IRAP"	"IC"	31	0.34	0.415515443961666	0.137931034482759	NA	NA	NA	2	NA	NA	"Average across two conditions"	2	NA	"No"	"Search"
8	"Barnes-Holmes, D., Murphy, A., Barnes-Holmes, Y., & Stewart, I. (2010). The implicit relational assessment procedure: exploring the impact of private versus public contexts and the response latency criterion on pro-white and anti-black stereotyping among white irish individuals. The Psychological Record, 60, 57–79."	34	"2"	1	"IRAP"	"IC"	19	0.81	1.66073120682165	0.235294117647059	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
9	"Barnes-Holmes, D., Murtagh, L., Barnes-Holmes, Y., & Stewart, I. (2010). Using the implicit association test and the implicit relational assessment procedure to measure attitudes toward meat and vegetables in vegetarians and meat-eaters. The Psychological Record, 60, 287–305."	35	"1"	1	"IAT"	"IC"	32	0.76	1.42711635564015	0.133333333333333	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
9	"Barnes-Holmes, D., Murtagh, L., Barnes-Holmes, Y., & Stewart, I. (2010). Using the implicit association test and the implicit relational assessment procedure to measure attitudes toward meat and vegetables in vegetarians and meat-eaters. The Psychological Record, 60, 287–305."	35	"1"	1	"IRAP"	"IC"	32	0.72	1.27296567581289	0.133333333333333	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
10	"Barnes-Holmes, D., Waldron, D., Barnes-Holmes, Y., & Stewart, I. (2009). Testing the validity of the implicit relational assessment procedure and the implicit association test: measuring attitudes toward dublin and country life in ireland. The Psychological Record, 59, 389–406."	36	"1"	1	"IAT"	"IC"	26	0.46	0.616186139423817	0.166666666666667	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
10	"Barnes-Holmes, D., Waldron, D., Barnes-Holmes, Y., & Stewart, I. (2009). Testing the validity of the implicit relational assessment procedure and the implicit association test: measuring attitudes toward dublin and country life in ireland. The Psychological Record, 59, 389–406."	36	"1"	1	"IRAP"	"IC"	26	0.41	0.527632742082372	0.166666666666667	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
11	"Blaison, C., Imhoff, R., Hühnel, I., Hess, U., Banse, R. (2012). The Affect Misattribution Procedure: Hot or not? Emotion, 12, 403-412. "	37	"1"	1	"AMP"	"IC"	150	0.8	1.6094379124341	0.0162162162162162	NA	NA	NA	6	NA	NA	NA	NA	NA	"Yes"	"Review"
11	"Blaison, C., Imhoff, R., Hühnel, I., Hess, U., Banse, R. (2012). The Affect Misattribution Procedure: Hot or not? Emotion, 12, 403-412. "	38	"2"	1	"AMP"	"IC"	86	0.75	1.38629436111989	0.0285714285714286	NA	NA	NA	6	NA	NA	NA	NA	NA	"Yes"	"Review"
11	"Blaison, C., Imhoff, R., Hühnel, I., Hess, U., Banse, R. (2012). The Affect Misattribution Procedure: Hot or not? Emotion, 12, 403-412. "	39	"3"	1	"AMP"	"IC"	53	0.48	0.653926467406664	0.0588235294117647	NA	NA	NA	3	NA	NA	NA	NA	NA	"Yes"	"Review"
12	"Bluemke, M., & Friese, M. (2008). Reliability and validity of the Single-Target IAT (ST-IAT): assessing automatic affect towards multiple attitude objects. European Journal of Social Psychology, 38, 977–997."	40	"1"	1	"ST-IAT"	"IC"	1568	0.75	1.38629436111989	0.00131584039630017	NA	NA	NA	34	NA	NA	NA	NA	"CU/CSU"	"Yes"	"OrigPub"
12	"Bluemke, M., & Friese, M. (2008). Reliability and validity of the Single-Target IAT (ST-IAT): assessing automatic affect towards multiple attitude objects. European Journal of Social Psychology, 38, 977–997."	40	"1"	1	"ST-IAT"	"IC"	1568	0.66	1.07880966137193	0.00131584039630017	NA	NA	NA	34	NA	NA	NA	NA	"FDP"	"Yes"	"OrigPub"
12	"Bluemke, M., & Friese, M. (2008). Reliability and validity of the Single-Target IAT (ST-IAT): assessing automatic affect towards multiple attitude objects. European Journal of Social Psychology, 38, 977–997."	40	"1"	1	"ST-IAT"	"IC"	1568	0.7	1.20397280432594	0.00131584039630017	NA	NA	NA	34	NA	NA	NA	NA	"SPD"	"Yes"	"OrigPub"
12	"Bluemke, M., & Friese, M. (2008). Reliability and validity of the Single-Target IAT (ST-IAT): assessing automatic affect towards multiple attitude objects. European Journal of Social Psychology, 38, 977–997."	40	"1"	1	"ST-IAT"	"IC"	1568	0.68	1.13943428318837	0.00131584039630017	NA	NA	NA	34	NA	NA	NA	NA	"GREEN"	"Yes"	"OrigPub"
12	"Bluemke, M., & Friese, M. (2008). Reliability and validity of the Single-Target IAT (ST-IAT): assessing automatic affect towards multiple attitude objects. European Journal of Social Psychology, 38, 977–997."	40	"1"	1	"ST-IAT"	"IC"	1568	0.67	1.10866262452161	0.00131584039630017	NA	NA	NA	34	NA	NA	NA	NA	"PDS"	"Yes"	"OrigPub"
12	"Bluemke, M., & Friese, M. (2008). Reliability and validity of the Single-Target IAT (ST-IAT): assessing automatic affect towards multiple attitude objects. European Journal of Social Psychology, 38, 977–997."	40	"1"	1	"ST-IAT"	"TRR"	79	0.48	NA	NA	0.522984277591344	0.0131578947368421	NA	NA	NA	"3 months or more"	NA	NA	"CU/CSU"	"Yes"	"OrigPub"
12	"Bluemke, M., & Friese, M. (2008). Reliability and validity of the Single-Target IAT (ST-IAT): assessing automatic affect towards multiple attitude objects. European Journal of Social Psychology, 38, 977–997."	40	"1"	1	"ST-IAT"	"TRR"	79	0.32	NA	NA	0.331647108705132	0.0131578947368421	NA	NA	NA	"3 months or more"	NA	NA	"FDP"	"Yes"	"OrigPub"
